sentence,jo,label
"Mothers in the intervention group had a significant reduction in symptoms of trauma and depression, and the mothers who reported the most stress at the study’s outset showed the most benefit, Shaw’s group reports in the journal Pediatrics.",Pediatrics,1
"“Stress has long been described as a trigger for migraine,” both happy stresses, like marriage, and unhappy stresses, like combat, rape or car accidents, said Peterlin, who coauthored a commentary published with the new study in the journal Neurology.",Neurology,1
"Globally, hypertension is tied to “at least” 7.6 million deaths each year, Chow’s team writes in The Journal of the American Medical Association.",The Journal of the American Medical Association,1
"In fact, patients who could not get a PCI within 90 minutes died at a rate that was roughly double that of patients who received treatment in 90 minutes or less, according to the report published in the New England Journal of Medicine.",New England Journal of Medicine,1
"After taking into account children’s iron levels at the start of the study, there was no difference in malaria rates between the two groups, the researchers report in the Journal of the American Medical Association.",Journal of the American Medical Association,1
"Research into how diet improvements may be linked to improvements in health after a heart attack is limited, Dr. Shanshan Li at the Harvard School of Public Health in Boston and her colleagues write in JAMA Internal Medicine.",JAMA Internal Medicine,1
"But the pattern of disease-linked deaths, extending from birth through young adulthood, suggests there may be a genetic, hormonal or other explanation for female robustness or male vulnerability, the authors write in Pediatrics.",Pediatrics,1
"Though patients who got the highest dose of steroids were less likely to have surgery by one year, there were no differences between the three groups in reported pain at that point, according to the results published in the Annals of Internal Medicine.",Annals of Internal Medicine,1
"Disparities fell slightly over time to about 11 percent for pharmacists and 6 percent for registered nurses, the researchers reported in JAMA Internal Medicine.",JAMA Internal Medicine,1
The researchers write in Health Affairs that one readmission was averted for every six patients who went through the program.,Health Affairs,1
"The researchers write in JAMA Psychiatry that more research is needed to confirm their findings, because the data they used were limited and not initially collected to evaluate death risks.",JAMA Psychiatry,1
"Those in the comparison group improved from a 9.0 to a 7.9, on average, according to results published in the Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"In comparing children in regions that did and did not have the programs, they found no WASH-related benefits on weight, but a small benefit on height, according to findings published by The Cochrane Collaboration, an international organization that evaluates medical research.",The Cochrane Collaboration,1
"And the positive changes in mood and attitude were most noticeable among women undergoing cancer treatment during the study period, compared to women who had already completed treatment, the researchers report in the Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"Using the app twice a week was associated with an average of four fewer headache days per month, according to the report in Nature Digital Medicine.",Nature Digital Medicine,1
"In the study, breast cancer patients assigned to 30 minutes of music listening five times a week had “noticeably” reduced side effects of cancer and its treatment over 24 weeks, researchers report in the European Journal of Cancer Care.",European Journal of Cancer Care,1
"More than 90 percent of multiple magnet ingestions happened in 2007 or later, according to results published in the Annals of Emergency Medicine.",Annals of Emergency Medicine,1
"Women without BRCA1 mutations, on the other hand, did not appear to benefit from ovary removal, according to results published in the Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"After 24 weeks, though, fetal death was equally common with all care models, according to the review in The Cochrane Library.",The Cochrane Library,1
"But considerable disparities among hospital types and regions have emerged, the researchers report in the journal Health Affairs.",Health Affairs,1
"With heavier use of the U-2 planes between 2006 and 2010, the number of incidents of pilots experiencing decompression sickness rose somewhat, McGuire’s team writes in the journal Neurology.",Neurology,1
"Yet, the researchers report in JAMA Psychiatry, depression was linked to greater cognitive decline regardless of other risk factors.",JAMA Psychiatry,1
"Just over half of psoriasis patients and 45 percent of those with psoriatic arthritis reported being dissatisfied with their treatment, according to results published in JAMA Dermatology.",JAMA Dermatology,1
Prochaska and her colleagues write in the American Journal of Public Health that it’s estimated people with mental illnesses use two to four times more tobacco than the general population.,American Journal of Public Health,1
"That works out to about a three-fold increased risk among those prescribed antipsychotic drugs, according to findings published in JAMA Psychiatry.",JAMA Psychiatry,1
"There did not seem to be a difference in asthma risk for kids who received probiotics, the researchers reported in Pediatrics.",Pediatrics,1
"While the difference between the two groups may seem small, the researchers write in the Annals of Internal Medicine that there were other noticeable differences.",Annals of Internal Medicine,1
"Children who shared a mother with a half-sibling had a 2.4-times greater risk if their older brother or sister had autism, according to findings published in JAMA Pediatrics.",JAMA Pediatrics,1
"“Age-related variations are observed at every step of melanoma management,” lead author Dr. Dragos Ciocan of the Unité d’Aide Méthodologique, Hôpital Robert Debré, Reims, France, and his coauthors write in JAMA Dermatology.",JAMA Dermatology,1
"Nonsmokers and relapsed quitters both gained between 1.5 and 2 pounds post-pregnancy, successful quitters gained 7 pounds and smokers lost about half a pound, according to findings published in Obstetrics and Gynecology.",Obstetrics and Gynecology,1
"In a commentary accompanying the new study in JAMA Internal Medicine, Rhodes suggested that hospitals create a team to handle all aspects of patients’ discharges.",JAMA Internal Medicine,1
"Recently, however, the safety of mesh implants for stress incontinence has come under scrutiny due to reports of severe complications, litigation and product withdrawals, researchers note in The BMJ.",The BMJ,1
"It’s not yet clear how the alterations seen along the DNA strand where methylation increased might cause asthma, the study team notes in Frontiers in Genetics.",Frontiers in Genetics,1
"Soaring prices and out-of-pocket costs for the autoinjectors have made it increasingly difficult for many patients to keep throwing out and replacing unused devices when they expire, researchers note in the Journal of Allergy and Clinical Immunology: In Practice.",Journal of Allergy and Clinical Immunology: In Practice,1
"The majority of surveyed military women say they would like to suppress menstruation during deployment but very few are doing so, according to the paper in Obstetrics & Gynecology that explores why more military women are not accessing that option.",Obstetrics & Gynecology,1
"Parents also were more satisfied with the care provided to their child when they had received a telemedicine consultation versus a phone consultation, according to findings published in Critical Care Medicine.",Critical Care Medicine,1
"Tumors on average were smaller and less advanced among aspirin users with colon and lung cancer, but not those with breast or prostate cancer, according to results published in the British Journal of Cancer.",British Journal of Cancer,1
"Tamoxifen was tied to fewer second cancers whether or not women’s original tumors had been estrogen-responsive, according to findings published in the Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"Likewise, children with symptoms of sleep disorders or sleep breathing disorders earned an average grade of 6.3 in Math, compared to 7.1 for other children, according to findings published in the journal Sleep Medicine.",Sleep Medicine,1
"While the evidence is strong that both vigorous and moderate physical activity can reduce breast cancer risk, she added, “with endometrial cancer it’s not so straightforward.”   Some past studies have already linked increased physical activity to reduced endometrial cancer risk, she and her colleagues note in their report, published in the British Journal of Cancer.",British Journal of Cancer,1
"While several studies have linked psoriasis to heart disease, stroke, diabetes, and other health problems, Gelfand and his team note in JAMA Dermatology, it has not been clear whether psoriasis severity is related to the degree of risk for those other conditions.",JAMA Dermatology,1
"The researchers, who published their findings in the Journal of Clinical Oncology, found that men who took metformin over time had significantly longer survival than men who didn’t take the drug, in terms of deaths from prostate cancer as well as other causes.",Journal of Clinical Oncology,1
"Just over one-quarter of women in the study said they had become pregnant during the prior 22 months, on average, and the majority of pregnancies - 59 percent - were unintended, according to findings published in Obstetrics and Gynecology.",Obstetrics and Gynecology,1
"But not all hope for vitamin D may be lost, said Dr. Edward Giovannucci, who wrote a commentary accompanying the new study in JAMA Internal Medicine.",JAMA Internal Medicine,1
"After eight weeks, the ginseng group reported a 20-point score increase, on average, compared to a 10-point improvement for the placebo group, according to results published in the Journal of the National Cancer Institute.",Journal of the National Cancer Institute,1
"But, the researchers wrote in JAMA Internal Medicine, “If the associations identified would be causal, then for each 1,000 individuals with type 2 diabetes and vascular disease adhering to a healthy diet, 131 would be expected to experience incidence or progression of (chronic kidney disease) within the next 5 years compared with 151 individuals on an unhealthy diet.”   Dr. Holly Kramer, who studies nutrition and kidney disease at Loyola University Chicago, said the study had a number of limitations - including that sodium was measured in the urine at a single time point, rather than over one or more days, and that the researchers didn’t have data on the total amount of calories people ate each day.",JAMA Internal Medicine,1
"The problem is a driver of excessive healthcare costs, but tackling it effectively requires a better understanding of what drives defensive medicine, Mello and her colleagues write in the journal Health Affairs.",Health Affairs,1
"The Patient Protection and Affordable Care Act, also known as Obamacare, has set aside funding for home visiting programs for at-risk families to improve outcomes for mothers and their babies born prematurely, Goyal and her team note in the journal Pediatrics.",Pediatrics,1
"Though Huang was somewhat disappointed with the results, which are published in the journal Addiction, other researchers called the measures a success.",Addiction,1
"The study’s authors, led by Dr. Elizabeth Jackson, write in the journal Pediatrics that understanding obesity risk factors for specific genders may help target programs aimed at weight loss or preventing weight gain in children.",Pediatrics,1
"On average each day, the younger kids, aged six to 11, spent 86 minutes moderately or vigorously active, and 37 of those minutes were at school, according to the results published in the American Journal of Preventive Medicine.",American Journal of Preventive Medicine,1
"But those rates, the researchers write in the Journal of the American College of Cardiology, may not apply to the rest of the country because King County is known for its fast emergency response times and high survival rates for cardiac arrests.",Journal of the American College of Cardiology,1
"That was after taking into account children’s age, gender and race, the study team wrote this week in the American Journal of Epidemiology.",American Journal of Epidemiology,1
"That’s especially true for minorities and the uninsured, write the authors in JAMA Internal Medicine.",JAMA Internal Medicine,1
"The parents typically maintained the diet log for the first year of life, Grimshaw and her colleagues report in The Journal of Allergy and Clinical Immunology.",The Journal of Allergy and Clinical Immunology,1
"Just 40 percent of smokeless tobacco users said they had plans to quit using tobacco, according to findings published in Pediatrics.",Pediatrics,1
"The research, published in the New England Journal of Medicine, does not prove that high glucose levels directly cause dementia.",New England Journal of Medicine,1
"During the 2010-2011 U.S. flu season, for example, only about half of pregnant women reported getting a flu vaccine, Kharbanda and her colleagues point out in their report, published in the journal Obstetrics and Gynecology.",Obstetrics and Gynecology,1
"About 7.5 percent of all women surveyed reported depression symptoms that put them above the cutoff for postpartum depression, according to findings published in the Canadian medical journal CMAJ.",CMAJ,1
"After three years, the results were similar and held across all risk-profile categories, Bunch and his colleagues report in the journal Heart Rhythm.",Heart Rhythm,1
"The new analysis, published in the American Heart Journal, showed both blacks and whites improved their fitness with the supervised program.",American Heart Journal,1
"Patients with anxiety or depression have previously been shown to have longer hospital stays and a worse prognosis after a heart attack, researchers note in the European Journal of Preventive Cardiology.",European Journal of Preventive Cardiology,1
"Strategies including limited availability of sodas in schools, removal from children’s menus at restaurants and better labeling could help reduce consumption, according to the analysis published in The Cochrane Database of Systematic Reviews.",The Cochrane Database of Systematic Reviews,1
"Among 3,308 people in the study with persistent intestinal damage, 41 - just over one percent - were diagnosed with lymphoma, according to findings published in the Annals of Internal Medicine.",Annals of Internal Medicine,1
Women who took antioxidants were not more likely to become pregnant or to give birth to live babies according to the results published in The Cochrane Library.,The Cochrane Library,1
"Newborns considered small at birth, meaning they were in the lowest 10 percent of birth weights for the whole group, tended to have the most problems in their first days, the team reports in the American Journal of Obstetrics and Gynecology.",American Journal of Obstetrics and Gynecology,1
"Only five percent of the kids said they used any kind of hearing protection against loud noise, such as ear plugs, according to results in the journal PLOS ONE.",PLOS ONE,1
"At 30 years post-surgery, 29 percent of quitters were still alive, compared to 14 percent of those who kept smoking, according to findings published in The American Journal of Cardiology.",The American Journal of Cardiology,1
"The pattern was similar for people who died within one month of the surgery and after other patient characteristics were taken into account, the researchers reported in The American Journal of Cardiology.",The American Journal of Cardiology,1
"The original vaccines contained whole pertussis bacteria and were highly effective in preventing whooping cough outbreaks, Baxter and his team noted in their report in the British medical journal BMJ.",BMJ,1
"Taken together, the studies link HPV infection of esophageal tissue to a three-fold greater risk of esophageal cancer, the researchers report in the online journal PLOS ONE.",PLOS ONE,1
"Traumatic brain injuries have long been linked to an increased risk of a wide range of short-term and long-term physical and mental health problems that can dramatically reduce quality of life, researchers note in the journal Surgery.",Surgery,1
"Four-fifths of the patients in New York City and three-quarters of those in the other counties had a diagnosis of a schizophrenia spectrum disorder, the team writes in the American Journal of Psychiatry.",American Journal of Psychiatry,1
"The new data, published in JAMA Internal Medicine, are based on national organ transplant records covering 1987 through 2010.",JAMA Internal Medicine,1
"At age 19, according to the report in the journal Pediatrics, 84 kids had persistent asthma and 78 had periodic asthma, a category somewhere in between a persistent case and complete remission.",Pediatrics,1
"In contrast, 24 percent of kids who had a sibling with a disability scored above 16, the team reports in the journal Pediatrics.",Pediatrics,1
"Healing time was also longer for deeper and wider wounds, the research team wrote in JAMA Dermatology.",JAMA Dermatology,1
"Based on those figures, the researchers report in the American Journal of Cardiology that the number of Americans with AF grew from 220 per 100,000 population in 2002 to 350 per 100,000 in 2007.",American Journal of Cardiology,1
"Weisskopf’s group reports in the American Journal of Epidemiology that 83 farmers, about 15 percent, said they had been treated for depression.",American Journal of Epidemiology,1
The researchers write in the American Journal of Transplantation that kidney transplantation is the preferred treatment for people with end-stage kidney disease.,American Journal of Transplantation,1
"The law requires results from large, rigorous trials - with some exceptions - to be published on ClinicalTrials.gov, a database of research trials, no later than one year after the last data are collected, write the researchers in the Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"Both younger and older patients improved on nearly all measures by the end of 36 rehab sessions, the researchers report in The American Journal of Cardiology.",The American Journal of Cardiology,1
"That compared to 11 minutes for women with a BMI between 30 and 40, 13 minutes for women with a BMI between 40 and 50 and 16 minutes for women with a BMI of 50 and above, according to results published in the American Journal of Obstetrics and Gynecology.",American Journal of Obstetrics and Gynecology,1
"Yet, among those that did prefer propofol, most were unwilling to pay more than $200 for it, far less than is currently charged to patients, the authors point out in the journal JAMA Internal Medicine.",JAMA Internal Medicine,1
"He said the ACOG committee, who published their report in Obstetrics & Gynecology, did a thorough job of assessing the single site technique.",Obstetrics & Gynecology,1
"Wang and her colleagues write in JAMA Internal Medicine that former inmates go from prison healthcare systems, where care is provided and access is guaranteed, to the general U.S. health system, which has more barriers to care, including primary care.",JAMA Internal Medicine,1
"Children whose mothers took epilepsy drugs while pregnant were more likely to score outside the normal range on several developmental measurements, the researchers report in the journal Epilepsia.",Epilepsia,1
"They found no link between the medications and several other deformities that had been suggested by previous studies, such as clubfoot or defects of the eye or face, according to the report published in the American Journal of Epidemiology.",American Journal of Epidemiology,1
"How sleeping for more than 8 hours a night might increase the risk of developing diabetes is not fully understood, the researchers wrote in Diabetes Care.",Diabetes Care,1
"Researchers who interviewed more than 1,000 female veterans found the risk of sexual pain was higher among those assaulted while serving in the military than those who experienced sexual abuse as children, according to the study published in Obstetrics & Gynecology.",Obstetrics & Gynecology,1
"Children whose parents used these strategies were more likely to sleep longer and have fewer bedtime behavioral difficulties, the researchers wrote in the journal Sleep Health.",Sleep Health,1
"Both had surgery without any complications, the researchers report in the journal Pediatrics.",Pediatrics,1
"Almost 40 percent of the Russian men, had tumors of the prostate, compared to 35 percent of the Japanese men, according to the results published in the Journal of the National Cancer Institute.",Journal of the National Cancer Institute,1
"The concentrations of perfluorinated chemicals the kids were exposed to before birth had no bearing on children’s growth later on, the researchers report in the American Journal of Epidemiology.",American Journal of Epidemiology,1
"In another study published this week in the Journal of Clinical Oncology, Swedish researchers found that end-of-life talks with the teenage children of terminally ill parents were tied to greater trust in the care provided.",Journal of Clinical Oncology,1
"For every 1,000 men taking the statins, there were 163 fewer hospital admissions for heart problems and a total saving of 1836 days in the hospital compared to men on the placebo, according to the new results published in the European Heart Journal.",European Heart Journal,1
"The reviewers did not know which children were listening to music, according to a report of the study published in the medical journal JAMA Pediatrics.",JAMA Pediatrics,1
"The study, published in the New England Journal of Medicine, comes at a time when doctors are struggling to reduce the death rate among lung cancer patients, who account for more than one quarter of all cancer deaths.",New England Journal of Medicine,1
"Men who walked regularly were 23 percent less likely to die during the study, and men who jogged were 27 percent less likely to die, Zhang’s team reports in the American Journal of Epidemiology.",American Journal of Epidemiology,1
"About 47 percent of parents correctly believed that undergoing a CT scan is tied to a greater cancer risk over a child’s lifetime, according to findings published in Pediatrics.",Pediatrics,1
"The hope is that the widespread use of EHRs will lead to better and less expensive care by reducing inefficiencies, inappropriate care and medical errors, according to the researchers, who published their findings in the Annals of Internal Medicine.",Annals of Internal Medicine,1
"None of the gallbladder patients and three hernia patients had surgical complications up to 10 months after surgery, which is comparable to complication rates in the general population, according to the results published in the journal JAMA Surgery.",JAMA Surgery,1
"That pregnancy rate is similar to what has been observed in clinically infertile women without a history of cancer, Richard Anderson, a professor of clinical reproductive science at the University of Edinburgh in the UK, writes in an editorial accompanying the new study in the journal Lancet Oncology.",Lancet Oncology,1
"Of the 53 kids who did get diabetes, 28 had been given solid food before four months of age, and seven hadn’t tried solid food until after six months, according to results in JAMA Pediatrics.",JAMA Pediatrics,1
"In an editorial accompanying the study in JAMA Internal Medicine, Dr. Douglas Bauer writes that the study “convincingly” shows that spinal augmentation is unlikely to reduce deaths after back fractures.",JAMA Internal Medicine,1
"The difference in gestation length would translate to an extra one percent of all babies being born prematurely, the study team wrote in Proceedings of the National Academy of Sciences.",Proceedings of the National Academy of Sciences,1
"The new study, published in the American Journal of Clinical Nutrition, shows the five-a-day recommendations are optimal, said Alicja Wolk, who worked on the research at the Karolinska Institute in Stockholm.",American Journal of Clinical Nutrition,1
"The majority of those - 88 percent - reported no discussions regarding that choice, according to findings published in the Annals of Family Medicine.",Annals of Family Medicine,1
"“It’s really premature to try and reach a conclusion about what might make a difference for it,” said Downe, who published an editorial accompanying the new study in BJOG: An International Journal of Obstetrics & Gynaecology.",BJOG: An International Journal of Obstetrics & Gynaecology,1
"Answers listing ‘baby blues’ as the reason were scored as incorrect because this kind of short-lived mood swing is different from postnatal or postpartum depression and usually resolves within a week after birth, Swami and his team write in the Journal of Mental Health.",Journal of Mental Health,1
"Children under two years old were also major beneficiaries - an estimated 47,000 pneumonia hospitalizations were prevented per year - a reduction of 43 percent compared to before the vaccine was available, according to the findings published in the New England Journal of Medicine.",New England Journal of Medicine,1
"The lower rates meant that people with cancer were 35 percent less likely to develop Alzheimer’s disease than other adults, the researchers wrote in the journal Neurology.",Neurology,1
"Doctors in the study were twice as likely to use a formal interpreter in states where Medicaid reimburses for those services as in states without coverage, according to the results published in the journal Pediatrics.",Pediatrics,1
"Of them, 26 - about 15 percent - said they had tanned indoors again at least once over the past year, with some visiting the booth up to 20 times, according to findings published in JAMA Dermatology.",JAMA Dermatology,1
"Likewise, 47 percent of pain patients from the wealthiest neighborhoods, based on zip code, were prescribed opioids, compared to 41 percent from the poorest areas, the study team reports in the Journal of General Internal Medicine.",Journal of General Internal Medicine,1
"Kids in the PUFA group were quickest to match pictures when they got it right, followed by the breastfed group and then the regular formula group, according to the results published in the American Journal of Clinical Nutrition.",American Journal of Clinical Nutrition,1
"They also increased their market share during the study period, from 9 to 10 percent of all IVF cycles performed in the U.S., according to findings published in Fertility and Sterility.",Fertility and Sterility,1
"In the latest research, published in the International Journal of Obesity by Aaron Sim, a graduate student at the University of Western Australia, and his colleagues, 17 overweight men volunteered to participate in four 30-minute exercise sessions: one in which they only rested and three involving stationary cycling at either moderate, high or very high intensity.",International Journal of Obesity,1
"Kids’ exposure to antibiotics taken by their mothers during pregnancy was not tied to the common rash, however, according to the results published in the British Journal of Dermatology   Experts said the new study supports the idea that antibiotics destroy intestinal microbes that play an important role in the immune system’s development after birth.",British Journal of Dermatology,1
"For example, some professional organizations have also adopted ethics codes to help manage those interactions, write the authors in the American Heart Journal.",American Heart Journal,1
"There was no association between outside temperature and heart defects over the entire year, according to results in the journal Human Reproduction.",Human Reproduction,1
"Two studies found people who ate the most of those grains lost about one more pound than other participants, the researchers wrote in the American Journal of Clinical Nutrition.",American Journal of Clinical Nutrition,1
"The study, reported online by The New England Journal of Medicine and at a meeting of the American Diabetes Association in San Francisco, involved 2,423 volunteers who were at high risk for developing the adult-onset version of the disease, which can often be prevented with diet and exercise.",The New England Journal of Medicine,1
The findings were reported at a meeting of the American Diabetes Association in San Francisco and in The New England Journal of Medicine.,The New England Journal of Medicine,1
"However, the combination treatment had no effect on women’s bone mineral density - a reflection of osteoporosis and fracture risk, Wactawski-Wende and her team reported in the journal Menopause.",Menopause,1
"The number of children under 12 who had taken the medicines accidentally decreased by 33 percent; those given the medications by their parents in error decreased by 46 percent, according to the results published in The Journal of Pediatrics.",The Journal of Pediatrics,1
"“We believe that encouraging patients to follow their daily routine immediately after (embryo transfer) may help them to cope with anxiety during treatment and thereafter to increase their skills in maintaining relaxation throughout the treatment, and this may be one possible reason behind our obtained results,” they write in the journal Fertility and Sterility.",Fertility and Sterility,1
"About 20 percent of cancers are very low-risk and it’s recommended that doctors use “active surveillance” among men who are expected to live for less than 20 years, write Schaeffer and his colleagues in the Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"Francine Grodstein, who wrote an editorial accompany the new study in JAMA Internal Medicine, told Reuters Health the findings are primarily reassuring.",JAMA Internal Medicine,1
"That suggests overall performance is affected by an Achilles tear - not specifically the more physically demanding basketball skills, Cerynik and his colleagues wrote in their report in The American Journal of Sports Medicine.",The American Journal of Sports Medicine,1
"Older patients and ethnic groups other than whites were more likely to have inaccurate beliefs about their care, according to the results published in the Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"Current smokers were 17 percent more likely to die and 53 percent more likely to have serious heart and lung problems than former smokers who had quit, according to the results published in JAMA Surgery.",JAMA Surgery,1
"Muscle strength in both groups dropped a day after the exercise, but the cooling therapy offered no benefit to those who received it, the researchers report in The American Journal of Sports Medicine.",The American Journal of Sports Medicine,1
"“This further emphasizes the important role compliance to screening colonoscopy guidelines can play in prolonging longevity, improving quality of life, and reducing health care costs through early detection of colon cancer,” the researchers write in JAMA Surgery.",JAMA Surgery,1
"In many of the studies, kids gained back the weight - and any cholesterol or blood sugar benefits went away - once the programs were over, the study team wrote in JAMA Pediatrics.",JAMA Pediatrics,1
"Despite the study’s limitations, Dehmer writes in a commentary accompanying the new report in JACC: Cardiovascular Interventions that he believes the results.",JACC: Cardiovascular Interventions,1
"But C. diff has been increasingly reported in young and healthy people who didn’t stay in the hospital, Lessa and her colleagues write in JAMA Internal Medicine, adding that between 20 and 28 percent of C. diff cases are in healthy people.",JAMA Internal Medicine,1
"That increase in meditation time appears to have produced an increase in attention span and working memory, researchers report in Nature Human Behaviour.",Nature Human Behaviour,1
"Results published in the journal Obesity show that participants who weighed themselves daily and received graphical feedback of their weight changes either maintained or lost weight, while those who didn’t weight themselves daily gained an average of about 6 pounds (2.7 kilograms).",Obesity,1
"The findings, published in the journal Menopause, shouldn’t be a concern for women, but it may change how researchers look at hot flashes, according to lead author Dr. Susan Reed who studies women’s mid-life health at the University of Washington in Seattle.",Menopause,1
"The findings appear in the Journal of Clinical Oncology, which is published by ASCO.",Journal of Clinical Oncology,1
"Pan told Reuters Health it could be that “if you are doing some ‘bad’ things, you will see the impact immediately, but for the ‘good’ lifestyle habit to have an effect, you may need to wait longer and accumulate more moderate changes.”   RED MEAT v. FAT   In an invited commentary accompanying the new study in JAMA Internal Medicine, William Evans, head of the Muscle Metabolism Discovery Performance Unit at GlaxoSmithKline in Durham, North Carolina, said it may be misleading to simply warn people away from “red meat.”   “I think fundamentally ‘red meat’ has become a pejorative term… There are cuts of beef that have less fat than some chicken,” Evans, who also teaches at Duke University, said.",JAMA Internal Medicine,1
"Ernst, whose team published its findings Monday in Pediatrics, said osteopathic manipulation may cost up to $125 per session.",Pediatrics,1
"The researchers write in the journal BJU International that while these injuries are rare, the number of “crush injuries” increased by 100 ER visits every year, with 1,707 ER visits reported in 2010.",BJU International,1
"Bossema added that weather-related symptoms may exist, but “perhaps these factors differ from person to person.”   Up to 92 percent of fibromyalgia patients report that certain weather conditions can exacerbate their symptoms - particularly, chronic pain and fatigue, Bossema and her colleagues point out in their study, published in Arthritis Care & Research.",Arthritis Care & Research,1
"Having less than 3 general surgeons per 100,000 people increased the likelihood of having a ruptured appendix by five percent, compared to areas with at least 5 surgeons, Ricketts and his colleague report in the Annals of Surgery.",Annals of Surgery,1
"The researchers, led by Dr. Peter Muennig from Columbia University in New York, write in Health Affairs that plenty of past work has linked social policies and people’s health, but few studies have looked at health outcomes after welfare reform.",Health Affairs,1
"The medications studied included gabapentin, pregabalin, lamotrigine and carbamazepine, Leo wrote in The Journal of Sexual Medicine.",The Journal of Sexual Medicine,1
"Murphy, who published her findings in BJOG: An International Journal of Obstetrics and Gynecology, said there may be something to learn from teenagers about why they have fewer C-sections than any other age group.",BJOG: An International Journal of Obstetrics and Gynecology,1
"With every 6 microgram per cubic meter increase in fine particulate pollution, for example, people were 26 percent more likely to have an AF episode in the next two hours, the study team reported in the Journal of the American College of Cardiology.",Journal of the American College of Cardiology,1
The researchers write in the European Heart Journal that training or competing may trigger arrhythmias as the heart adjusts to increased or decreased activity.,European Heart Journal,1
"Two dropped out because of side effects that could have been related to their use of the device, according to the researchers in JAMA Internal Medicine.",JAMA Internal Medicine,1
"Low-income people in the study reported drinking more sugary beverages than their wealthier peers in general - but they weren’t any more likely to buy large restaurant drinks, according to findings published in the American Journal of Clinical Nutrition.",American Journal of Clinical Nutrition,1
"Some of the programs did result in kids eating more fruits and veggies or getting up and moving around more than the comparison groups, but none affected kids’ weight or BMI, according to results published in the journal Pediatrics.",Pediatrics,1
"In total, Miglioretti’s team predicted that an estimated 4 million pediatric CT scans done over a year in the U.S. would be responsible for 4,870 future cancers, the researchers wrote Monday in JAMA Pediatrics.",JAMA Pediatrics,1
"Travelers with existing respiratory or heart disease in particular may want to plan ahead to protect themselves in highly polluted places, the study authors write in the Journal of Travel Medicine.",Journal of Travel Medicine,1
"As HIV patients are living longer, however, they’re also at higher risk for heart attacks, strokes, heart failure, sudden cardiac death and other diseases than people without HIV, according to a scientific statement from the American Heart Association (AHA) published in Circulation.",Circulation,1
"About 30 percent of the rape victims had pelvic floor hypertonicity, or “too-tight vagina,” compared to 12 percent of the nonvictimized group, according to results published in the Journal of Sexual Medicine.",Journal of Sexual Medicine,1
"Among those on the crash diet, 48 people developed gallstones requiring hospital treatment, and 16 people in the other group developed gallstones, Johansson and her colleagues report in the International Journal of Obesity.",International Journal of Obesity,1
"“These drugs should be removed from EMS backpacks at the end of these time frames to maintain optimal potency and avoid adverse effects resulting from the drug degradation,” the researchers write in the Annals of Emergency Medicine.",Annals of Emergency Medicine,1
"And the ATS guidelines, published in the American Journal of Respiratory and Critical Care Medicine, recommend against using stimulants to reduce the chances of crashing among high risk drivers with sleep apnea.",American Journal of Respiratory and Critical Care Medicine,1
"However, none of the data collected during the Combine, including the relative strength of players’ quadriceps and hamstrings, predicted an injury in the following season, the researchers reported in the American Journal of Sports Medicine.",American Journal of Sports Medicine,1
"In an editor’s note accompanying the new study in JAMA Internal Medicine, Dr. Grace Lin, a member of the journal editorial board, echoed Sequist’s comments.",JAMA Internal Medicine,1
"Because measures of depression, anxiety, general functioning and post-traumatic stress disorder improved faster with group therapy, the technique may be useful in other countries were war and unrest often contribute to sexual violence, researchers reported in the New England Journal of Medicine.",New England Journal of Medicine,1
"Previous research has found that older patients tend to wait longer for care in ERs elsewhere, including in the U.S., the researchers write in the Annals of Emergency Medicine.",Annals of Emergency Medicine,1
"And kids who skipped the shot at their sick visit, but had another visit within a few weeks, ended up receiving more routine check-ups compared to similar normally-vaccinated children, Robison reported in the medical journal Pediatrics.",Pediatrics,1
"Some of the most difficult objectives to meet, according to the new study published in the Annals of Internal Medicine, are the capacity to exchange data with other doctors, to generate reports on care quality and to provide patients with a summary of their visit.",Annals of Internal Medicine,1
"And medical records showed muscle pain among 73.5 percent of statin users, versus 71.5 percent of non-users, Mansi’s team reported in JAMA Internal Medicine.",JAMA Internal Medicine,1
"But not all of those men had undergone a blood test to see if they really needed the extra testosterone, according to findings published in JAMA Internal Medicine.",JAMA Internal Medicine,1
"But kidney failure is only noted as a rare event, so prescribers don’t usually take it into account, according to the U.S. and Canadian team who published the new findings in the Canadian Medical Association Journal.",Canadian Medical Association Journal,1
"Altogether, the tests cost $315,321 - or $105,107 per possible diagnosis, the study team reported in The Journal of Pediatrics.",The Journal of Pediatrics,1
"Previous studies had suggested that BDSM activities were linked to mental disorders and vulnerability to abuse, according to the researchers, who published their results in The Journal of Sexual Medicine.",The Journal of Sexual Medicine,1
"“Dating Matters also teaches parents the importance of being health and relationship educators for their kids, and starting conversations about healthy relationships before they start dating.”   Young people who participated in the Dating Matters program in the current study didn’t appear any less likely to engage in positive relationship behaviors than middle school students at schools without the program, researchers report in the American Journal of Preventive Medicine.",American Journal of Preventive Medicine,1
"Children are particularly affected due to their developing immune systems, the authors note in the journal Allergy.",Allergy,1
